Day,SAT (excluded),SUN (excluded),Weekday AM,Weekday IP,Weekday PM,Weekday OP (excluded),SAT,SUN,Weekday,Average WD Total,Average WD HGV,Average WD Car,Average 7 Days Total,Average 7 Days HGV,Average 7 Days Car
1,563.2222222,290.4285714,0,0,0,417.7297297,486.8888889,223.8571429,289.4459459,417.7297297,128.2837838,289.4459459,420.3284918,112.0462401,308.2822516
2,337.1666667,324.4444444,0,0,0,271.9324324,227.3888889,266.4444444,149.1081081,271.9324324,122.8243243,149.1081081,288.7533248,111.6999142,177.0534106
3,288.7777778,249.4375,0,0,0,268.1621622,177.8333333,189.5625,141.6081081,268.1621622,126.5540541,141.6081081,268.4322984,114.7985307,153.6337677
4,295.8333333,249.5625,0,0,0,310.3783784,184.2777778,193.8125,169.8783784,310.3783784,140.5,169.8783784,299.6125322,124.2579365,175.3545957
5,324.6666667,247.125,0,0,0,458.6621622,201.7222222,185.75,274.2027027,458.6621622,184.4594595,274.2027027,409.3003539,158.088106,251.212248
6,584.2777778,377.125,0,0,0,1077.158621,433.1111111,304.3125,810.1655172,1077.158621,266.9931034,810.1655172,906.7422687,222.7063834,684.0358853
7,1098.555556,708.375,0,0,0,3195.310345,926.1666667,634.625,2752.151724,3195.310345,443.1586207,2752.151724,2540.497469,351.7045703,2188.792898
8,1663,1127.0625,6077.239342,0,0,0,1459.888889,1040.625,5553.102471,6077.239342,524.1368704,5553.102471,4739.465601,415.7475662,4323.718035
9,2318.166667,1464.5625,5380.675676,0,0,0,2104,1354.0625,4802.162162,5380.675676,578.5135135,4802.162162,4383.729649,459.6048906,3924.124759
10,3026.722222,2419.1875,4166.702703,0,0,0,2788.722222,2287.6875,3510.635135,4166.702703,656.0675676,3510.635135,3754.203319,521.4054054,3232.797914
11,3036.875,3185.1875,0,3741.041667,0,0,3466.944444,3036.875,3073.527778,3741.041667,667.5138889,3073.527778,3653.770833,529.2767857,3124.494048
12,3438.0625,3123.569444,0,3794.305556,0,0,3836.166667,3438.0625,3123.569444,3794.305556,670.7361111,3123.569444,3802.358135,532.0615079,3270.296627
13,3662.75,3351.847222,0,3992.458333,0,0,3916,3662.75,3351.847222,3992.458333,640.6111111,3351.847222,3980.975198,504.1200397,3476.855159
14,3453.9375,3471.611111,0,4120.722222,0,0,3817.722222,3453.9375,3471.611111,4120.722222,649.1111111,3471.611111,4025.656746,507.1259921,3518.530754
15,3367.25,3692.833333,0,4327.166667,0,0,3408,3367.25,3692.833333,4327.166667,634.3333333,3692.833333,4097.358135,491.7271825,3605.630952
16,3650.5625,4340.918919,0,4916.027027,0,0,3276.777778,3650.5625,4340.918919,4916.027027,575.1081081,4340.918919,4537.800059,447.5236486,4090.27641
17,3869.9375,5693.216216,0,0,6157.797297,0,3274.388889,3869.9375,5693.216216,6157.797297,464.5810811,5693.216216,5456.002038,368.8009706,5087.201067
18,3511,5426.510345,0,0,5769.006897,0,3399.777778,3511,5426.510345,5769.006897,342.4965517,5426.510345,5140.887863,277.5550766,4863.332786
19,2918.666667,3069.5625,0,0,4068.148649,0,2821.111111,2949.875,3807.256757,4068.148649,260.8918919,3807.256757,3761.281773,217.3860736,3543.895699
20,1965.222222,2209.1875,0,0,0,2407.029526,1891.333333,2115.1875,2199.222902,2407.029526,207.8066239,2199.222902,2315.65105,172.4174298,2143.233621
21,1379.5,1439.625,0,0,0,1627,1313.166667,1357.875,1467.958333,1627,159.0416667,1467.958333,1564.875,134.7559524,1430.119048
22,1092.722222,971.5,0,0,0,1255.438356,1023.944444,893.375,1102.739726,1255.438356,152.6986301,1102.739726,1191.630572,130.0565612,1061.574011
23,949.1666667,612.3125,0,0,0,966.4647913,890.3888889,546,828.8707483,966.4647913,137.594043,828.8707483,913.4004462,116.151499,797.2489472
24,777.9444444,456.8125,0,0,,666.4594595,718.1111111,395.5625,532.7162162,666.4594595,133.7432432,532.7162162,652.4363202,112.8285071,539.6078132
