"","continent","country"
"1","Asia","China"
"3","Asia","India"
"10","Asia","Japan"
"14","Asia","Philippines"
"16","Asia","South Korea"
"18","Asia","Taiwan"
"21","Europe","Denmark"
"23","Europe","Finland"
"25","Europe","France"
"37","Europe","Germany "
"53","Europe","Greece"
"55","Europe","Ireland"
"57","Europe","Italy"
"61","Europe","Netherlands"
"65","Europe","Poland"
"69","Europe","Russia"
"73","Europe","Spain"
"78","Europe","Switzerland"
"81","Europe","UK"
"97","Middle East Africa","Egypt"
"99","Middle East Africa","Nigeria"
"101","Middle East Africa","South Africa"
"104","North America","Canada "
"110","North America","Mexico"
"114","North America","USA"
"178","Oceania","Australia"
"186","Oceania","New Zealand"
"188","South America","Brazil"
"193","South America","Colombia"
"30","Europe","Hungary"
"31","Europe","Irland"
"32","Europe","Belgium"
"33","Europe","Portugal"
"34","Asia","Turkey"
"35","Asia","Georgia"
"36","South America","Uruguay"
